,refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools,Governorate,lat,lon,population,lat_gov,lon_gov
33,http://dbpedia.org/resource/Matn_District,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2000,2,0,Ain Es-Sindiane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Matn District,,,750000,33.9097245,35.7167947
34,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Et-Teffaha,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Matn District,33.9345635,35.7255368,750000,33.9097245,35.7167947
35,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Et-Tineh-Miniyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Miniyeh-Danniyeh District,,,,34.3888022,36.0520569
36,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3500,1,0,Ain Ez-Zeit,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Akkar Governorate,34.5889815,36.1976962,423596,34.5555009,36.2016453
37,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Ez-Zeitouneh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Matn District,,,750000,33.9097245,35.7167947
38,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Fraidis,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Aley District,33.7813791,35.6096193,386320,33.7720489,35.6330158
39,https://dbpedia.org/page/Beqaa_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Harsha,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Beqaa Governorate,,,534342,33.6746204,35.8333757
40,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Ibl,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Bint Jbeil District,33.1075487,35.401489,53000,33.1832536,35.4138051
41,http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Jarfa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Hasbaya District,33.3840943,35.6854279,19000,33.3769255,35.7174189
42,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Jrain,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Byblos District,34.0836278,35.765865,100000,34.1236954,35.6493557
